Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机核网加九 pro 朋友，你再也不用担心被揭幕安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散，, Start Time: 27700
Text: 后来传那个罗斯福嘛，后来就传到了肯尼迪手里。然后肯尼迪后来被刺杀之后呢，然后就是就是就就是到了到了约翰逊，约翰逊，他自己是一个那个圣殿骑士，因为当时他是副总统，美国的宪法里面，就是说这总苹总总统被刺杀之后，副总统直接上位了。对对对，然后这个这个他就是一直在安插，, Start Time: 3780410
Text: 就是就是圣念当总统。对对对对对，他就是圣殿骑士。然后他当时阿波罗十一号到了月球去取回了这块碎片啊，取回了一块碎片。然后这个苹果四号第四号苹果呢在敦煌壁画中间，就是他们把一一副东皇的壁画都 PS 了。但这颗苹果后来具体怎么走，我们也不知道。但是他最后呢到了这个这个这个特斯拉手里，, Start Time: 3799550
Text: 那特斯拉特斯拉造制造通五斯大爆炸之后呢，不知道什么原因，深圳骑士团又从特斯拉手里抢到了这块苹果，等于爱迪生想毁掉这个，但是失败了，他其实不是要毁掉这个，他就要毁掉一个权杖。那那个那个是很很后面的故事了。总之总之这个这个这个深圳集团拿到这苹果交给了爱迪生。你知道我们知道爱迪生跟特斯拉其实是死对头对对，, Start Time: 3824550
Text: 他们互相不对付。那这个爱迪生爱迪生之后呢，又把大魔术师师那个电影。对对对对，就是他们两个。对对对对对，然后特斯那个这个爱迪生呢又把这个交给了福特手里。那福特为什么他们能够制造那种工业奇迹，能够成为现在世界数一数二的这个汽车厂。就是因为他用这个这个苹果去控制他们的一些工人，, Start Time: 3845570
Text: 去去特别高效率去生产，所以也是洗脑的结果。那后来这个福特手里面到福特手里面之后呢，这个这个苹果又跑到了希特勒的手里。所以希特勒才做能够用他的演讲去控制德国的民众，我的奋斗之类的。然后德国民众就就这个这个非常活力，全是苹果。对对对对对，然后这个苹果苹果五号、, Start Time: 3864650
Text: 苹果第五号呢，就其实就是那个就是就是我们说的阿波罗十一号取回来的那基本上我们现在历史上我们知道的已知的就一共这五个苹果。那除了苹果之外，伊恋碎片还有其他的形式，其实还有一个形式叫做果尸布。就裹尸部这个东西也是挺有意思的。其实裹尸部就是我们古希腊神话，中间那个金羊毛哦，, Start Time: 3886220
Text: 押送和金羊毛的。对对对对对，他是是金羊毛。而后来呢到了耶稣的手里，耶稣到了耶稣手，耶稣也是靠这个东西这块碎片去去救人。然后然后然后后来呢耶稣不是被圣殿奇缘定死了嘛。这个这个后来他的几个门徒追随者把这个这个这个果尸部取取回来了。然后把把耶稣把耶稣就就裹在这个裹尸部里头，, Start Time: 3907750
Text: 然后呢耶稣就复活了。在复活节这一天，所以耶稣的复活是因为耶那个因为依恋碎片，然后然后 OK 然后这个这个这接下来呢这个我们果实部基本上就是这个历史，那么保健就是大宝剑啊，就是那个是不是那伊甸之剑。对，就是伊甸之剑，就是我们大革命里边最终能拿到的那把剑，其实就是大宝剑啊，, Start Time: 3932355
Text: 这这把剑是怎么回事？其实最早斩杀美杜莎，美美杜莎这个希腊英雄帕帕帕修斯帕修斯，他他手里，他这把剑就是他手里那把剑，伊甸之剑。对对，帕修斯是谁？其实有一部电影叫众神之战。对对对，讲的就是帕修斯。对，讲的就是帕修斯，然后包括我们那个一个儿童文学叫什么？波西杰克逊波波杰杰克那个在波西，, Start Time: 3955439
Text: 他就就来自于帕修斯。哦，对对对，然后这个后来他这个剑莫云奇奥跑到了匈奴王阿提拉的手里，上帝之鞭阿提拉。后来不知道我们到了他们手里的也不讲，也不讲，就是对，就到了。对，后来又流落到了这个这个这个不列颠的亚瑟王的手里，也就是我们亚瑟王的一 x 咖喱瓦，就是 x 咖喱棒。, Start Time: 3976820
Text: 这个就是就是其实就是他的这个断钢剑，就是这把剑，然后这把剑后来就莫莫云其奥不知道为什么又讲了成吉思汗的手里。在成吉思汗手里之后呢，他们不知道为什么又跑到了雅克德莫莱的手里，对吧？我们知道雅克德莫莱对后来后来更牛逼了。圣女贞德那得到了这把剑，领导法军在靶林阵容重创了英军，, Start Time: 3999100
Text: 但后逼的战争狂人都是那个那个拿那把剑的对，后来这把剑就当然后来震称之圣女贞德被英国人抓住了，那这把剑就掉倒到英国人手里。但是不知道为什么又跑到了那日本跑到了织田信啊，武田信玄的手里，跑到武田的信玄手里。然后啊库卢老师这个要出来了。对，侠里之虎我靠。对对对，, Start Time: 4021180
Text: 然后他这个到了他的手里，然后后来当然武田信权，后来这这个又留到了这个之田信长的手，直接姓长的手里，直接姓长，姓长的手里。然后这个这个他那他掉他手里倒是可以理解的，后来他就又一直流落到了中国。对，但是又又不知道为什么大革命时候又回到了法国。哦，对，又回到了亚德梅类的手里的，, Start Time: 4043500
Text: 不是加克多梅类，回到我们主角阿诺的手里，然后回到那个回到那个大导师。对，后面那个大团长，对对对对，然后那个 OK 还有一个残片叫就是一个戒指，一枚权指。然后戒指呢热尔曼的手里啊，热尔曼啊。对对对对，热耳曼是杖。对对对，后来还有一个残片叫戒指，那个戒指。戒指呢就是就是当时不是海盗，, Start Time: 4065810
Text: 海盗传说中间有个叫基德权杖了嘛。基德船长传说刀枪不入，就是因为他带了这个残片，带了这个戒指，所以他能刀枪不入。还有一个这个权杖，这个权杖也是很有意思的一个残片权杖。也就是说古埃及的法老手里拿的就是这样一柄权杖。而摩西枫红海，他手里不是拿一个手杖嘛，也是这柄权杖，, Start Time: 4087990
Text: 然后教皇手里也是这柄权杖，沙皇教皇的那个。对对对，我们二代不是拿到那个那个那个权杖，其实那个教皇的权杖在沙皇的权杖也是这个权杖。然后这个然后基本上就是是 OK，然后这就是所有的所有的这个残品，我们就是设定里面涉及到就是这样，你看可以看到他把历史整个给我，真是觉得他把历史整个给拆了。, Start Time: 4109070
Text: 对在这个所有的历史中间，我们政治学的逻辑、哲学逻辑、国际关系逻辑、历史的逻辑、社会学、逻辑全通通全都不存在了，不再是一个简单的啊可以就是就是说我们可以啊用一种理性的讨论的方式去分析的东西了。但我觉得他不是逻辑不存在了，他是把逻辑给改了。对，谈了这个对，改成了一个非常奇怪的这样一个结构。, Start Time: 4134500
Text: 对对对对，然后就是说真是我就是看完这设定之后，我真是觉得没有意义了。我觉得我读博士什么都没有意义了，读书么都没有意义了。辞职来集合了吧，集合真地人。辞职母亲河了，不是，但是挺有意思的。其实我觉得对他还挺挺想象力的。你想他把科幻的题材，然后他把这个历史的题材对，, Start Time: 4159440
Text: 然后把宗教人文这些东西，他全都揉在嗯一个系列里的。对他真的是的确是把整个呃起人类的历史体系统合了一下。对，包括人类起源，对，确实连起源神话宗教。对，这有这种希腊神话，然后嗯圣经对这些东西全都包包括现代，包括这个。而且你回头看一下这个东方西方全都有。对，虽然中国的那个编的其实有点扯了，, Start Time: 4177460
Text: 我真是觉得对他们要，但是还是可以接受的。那那其实纵观整个历史，你会发现圣剑骑士团他们其实一直想要达到的是什么呢？就是他们想要去建造一种秩序的东西。嗯，他们要预定碎片是干嘛呢？他们就要用一念碎片去控制人类，去让人类就是心往一处使力往一处使。他们希望把人类变成一个超级有秩序的非常强大的一个集体。, Start Time: 4202170
Text: 对，那刺那刺客信条刺客刺客们，他们不信这个刺客自由，对他们要自由，他们要自由意识。他们觉得人类不管哪怕选择灭亡，那也是人类的权利。嗯，所以你看最早自由要民主，他们其实就是亚当夏娃这样一一那种精神的传承嘛。所以所以你看历史，让他们把所有那些追求自由的嗯追求啊，, Start Time: 4225250
Text: 追求理想，追求人理想自觉共产主义什么的对对对列宁啊什么的对，基本上全是这样。而就像保守党什么的，你像撒切尔夫人什么的，全是圣剑骑士团。对对，所以你可以看普京是吗？对他其实就把整个历史二元二元化了，就是一个保守论和进步的。他把他二元论，对，就就是一一般是圣圣骑士团，, Start Time: 4246500
Text: 所以尤其其进进的都是是刺客，都是刺客。对，保守都圣剑骑士团，所以刺客信条也就是自由。对，自由就是那个就是万事英，就 everything is permitted，就是给吸毒。对，就该嗑药就该对吧？就该进入天堂。就就是对，所以说你看整个我们基本上就把这个阴谋论阴谋论，, Start Time: 4266400
Text: 整个他就是刺客信条，这个设定非常典型。阴谋论回顾完了。对对我也希望这个编剧逻辑就是大型阴谋论。对，就是一个特别大的统合了所有历史阴谋论。但是他这他这个编剧就是嗯独到之处，就是他去其实他现在已经做了这么多个作品了，嗯，都已经六七部作品了。对，完了他。但是我觉得他还没有就是去放手嗯，, Start Time: 4288880
Text: 去涉及到他这个世界观，其实已经设定出来的某些的部分。比如说就怎部部嗯嗯嗯嗯，比如说那个阿波罗登月之类刺杀肯尼迪之类的。对，也可能有阿波罗登月，它就是在在里面面也有。对，也可能是游戏中一些呃呃支线。但他们判断他没有作为主要的那个没有没有没有。所以说为什么那个看门狗，, Start Time: 4312250
Text: 我觉得他们里面不是也出现 upstgle 的那个啊对，这内容容对对对对对对，可能我觉得得个应该是一个内容联动吧。我觉得因为这两个世界观还是有点不太一样了，是不太一样。那不然那个那个可能就是一之类。对，但我就是挺希望刺客，其实他既然都已经把世界观都已经打造了，, Start Time: 4333110
Text: 如此完整，虽然挺胡逼，但是也很完整。对他为什么不做一些更更加大特的东西呢？对，也可能是这个系列发展到现在大家已经习惯了。就是就是怎么说呢？就是很有文化感觉的古代的对历史历史历史感的东西。嗯，而且可能他们我觉得他们这个小组更偏向于做这种特别历史感，特别厚重的这种这种题材。, Start Time: 4350750
Text: 但但考虑历史细之之类，这也变成其变成变色信条。一个可以支撑我们玩下去的一个东西吧。就可能我们可以看到不同时代的那个一个一个风貌，不同的城市，而且都冷冷冰系的在进身。那那对对对对对，慢慢就我觉得不妨尝试一下新的。对，因为他们已经走向热兵器，你想我们不是说他泄露了那个下一座就是 victory，, Start Time: 4375710
Text: 就是在在维多利亚时期，伦敦嘛那那就火戏已经是大行其道了，那算是跟现在更近一点了。对对对，而且以后可我觉得就是到二战之类的，也真真的时间问题。但是东方题材啊都可以做一做东方，他可能现在就是试一下水吧，就是就是拿那二 d 的，不是拿那横版动作的事。对对对对对，, Start Time: 4396870
Text: 因为东方题材其实做起来有难度，因为尤其是中国的，因为中国在他们这个设计中心非常重要。对，但是中国文化你说说如果你你像玉碧这样的一个主要在西方发售游戏的这样一个厂商，你光靠不敢轻易的去对，不敢轻易涉及。你像你看你想翡翠帝国嗯那个 jade 安排那那个那我们那个深入我们八国外做的那款款东方题材的 RPG。, Start Time: 4415610
Text: 他其实在西方市场，其实做，其实收也就也不好，也就一般。因为因为中国东方人也并不买账。对，东方人也并不买账，所以因为他做这个会比较尴尬，所以他可能我觉得可惜了的一个神作。对对对，是很可惜的神作。但就是我觉得所以他也不太愿意去啊在一个正统续作里面轻易去设计东方的题材。, Start Time: 4439780
Text: 不过我很期待，嗯，就尤其是比如秦朝之类的那些事情。对对，那个明朝那些事情，我觉得都挺有意思的。对对对对，确实那我反正我们在之之后，那个中国那个资料片中间会会应该会可以就是管中窥报嘛，可以看到一点那个那个他在中国设计的部分对，感觉一下。对对对，但是这个这个还真的挺佩服他们整个把这样一个大喜做出来。, Start Time: 4459760
Text: 对对，而且他们在每每一代里面还可以把历史的细节也完全填入这个刺客这条这个逻辑阴谋论的逻辑里面。对对，但还是对，还是还是说一是这些都是阴谋论啊这个对，但是不能经过这个奥卡姆提高理论的证实，因为他们不能证伪。对我们我没有办法去证实他们不存在，因为我们历史根本就没有。, Start Time: 4483200
Text: 对没有记录这一块。对，除非我们找到新的历史说啊，当时根本不是这样或者对。但是但是即便如此，阴谋论在历史中尤其有想要想象的空间。对，因为为什么呢？因为历史历史就算被记录下来，你也有，他也并不是百分之百可的对，所以这也是刺客信条最吸引人的一个卖点。对，但也是是是是分命史可在嘛。, Start Time: 4503770
Text: 对对，听完这个还真是觉得刺客信条没那么简单，不简单真不简单。对，虽然 bug 还是很多，但编剧还是要肯定一下。对对对，那期待一下下一作吧， victory victory。对对嗯，好吧，那今天感谢麦教授给我们讲这个啊本期节目从第三十分钟之后，就都是那个刺客假历史啊，, Start Time: 4524730
Text: 千万不要进，尤尤其是在孩子可能还在上高中大学的同学，千万不要进啊。对，千万不要相信。对，另外呢我们这个之前我们有提到一下这个这个呃共击会啊这样一些组织。大家可能觉得哎我们没有提这个，当然我知道可能很多同学可能巨感兴趣还是很想听这个。那我们之后在这个呃节目之后，, Start Time: 4543920
Text: 我们还会做一个这个说事儿。对视频节目视频节目，然后我们会把这个这些不只是刺客信条，还有其他游戏中间的这些秘密组织，它的一些符号啊，他们一些有意思的历史跟大家分享分享一下。对对对，好吧？嗯，那大家不要忘了去看视频节目。嗯嗯，好的好，下一点再见，拜拜加六 pro。, Start Time: 4563680
Text: 本着高端专业有态度，但没有节操、大气、美观、国际化，但没有水平的严谨风格，为你带来游戏圈内各种大哥的牛逼讨论，但是不一定都是对的。专题节目会在每周四定期为你发布，但会经常跳票。如果你希望能听到更多游戏专题节目，也可以持续关注我们的网页三 w 点 g 杠 CORES 点 com 或者在新浪微博关注机核网。, Start Time: 4586350
Text: 你可以在腾讯微信搜索公共平台 GAMECORES 或者加入我们的 QQ 群，一一二八幺六八零八，为我们提供更多更好的话题和建议他。, Start Time: 4624805
