Text: 追根溯源，挖掘游戏文化，深入浅出，探索业界秘闻，聊游戏，也能长知识。欢迎收听机和网加九 pro 朋友。你再也不用担心，本节目安利的时候找不到那个游戏了。你也再也不用担心，因为主持人的英语不好而听不懂游戏名称了。希望新版官方网站终于上线，边听边看风光无限。三 w 点 g 杠 CORES 点 com 我们不见不散。, Start Time: 27690
Text: 我那个后面还是很多的，一般没有副标题，光叫一个什么呢？就是没想做做二代，那一般就没有想做那个二三代，就是至少是我确定不了。所以一代的时候，他的结局就不像二代二代那个结局其实直接连到第三代。一代的结局呢，他还有很多种，他里面有一个女的叫夏明，他有个那个夏就远远走高飞，, Start Time: 3970960
Text: 就是是就大家就是是就就是远远走副标题剑仙的那种，也有跟特里斯嗯也有跟特里斯两个人就从此仗剑天涯，就是直接就问世事的这种。对，嗯，就是他这个已经就没管那个后面有没有了，就反正就是解决了一个飞人种族的一个重大危机。然后就就那个但是呢他又留了个尾巴，他的加强版你像你也就知道第二卷。, Start Time: 3991120
Text: 刚才说那个第二部游戏的加强版是那个尼布加德那个那个大军路过一来。嗯，对，第一部的那加强版的那个结局呢，是那个最后他去找那个伏尔泰斯要钱，因为他解决了这么多的事情，他要结果遇到那个刺客来杀你。对我记得那个司机，我记得那个 c 机。对，所以这个又留下了，就是就是连着连轴了。, Start Time: 4015970
Text: 第二步就是既然都就是国王刺客嘛，这就是第一部，就是第二部。国王刺客呢，国王刺客，他那个里面呢，就是伏尔泰斯特就被杀了。杀了之后呢，就摘到的是杰洛特杀的，然后杰洛特就要证明自己的清白。对，然后去就去，相当于他就必须要自证，就是不是我干的，就是要去追那个刺客，, Start Time: 4040280
Text: 就是那个雷索，就是那个南方那个负责派那个那个勒索。然后在追的过程当中呢，他主要是走到那个那个中间那个游戏，我记得了翻成福港还是什么地方。福福福楼楼城浮港港好像是翻成成个福港。福港那个地方呢是那个科德温和那个雅典的，就是争夺的一个一个那个地方。然后在争夺的时候呢，, Start Time: 4062480
Text: 实际上呃背后呢是那个武术士集会，就是那个刚才说的那个菲利巴，他们那一群就就想想，实际上那个雷索去杀那个国王呢，实际上是明面上是菲利巴执使的那是第一层，第一层是非利巴执行的，就他们包括那个反抗军那个那个头目也是一个龙，那个也是那个菲利巴，就是约束的一个一个一个金龙。, Start Time: 4083590
Text: 然后他们的目时呢就是在那打造一个就是武术士的自己的国家，就相当于他们那个就是要那个。但是他们又同时呢那个渔夫家的皇帝呢就在更高的一个层面上利用。他们就是那个呃因为那个那个刺客好像是被菲利巴，他们就指使的，实际上是是那个双重的，就是实际上他现在听那个渔夫家的皇帝的是是来就是搅浑水的。, Start Time: 4107090
Text: 就是目的呢就是让他们在那儿打青团，就是那几些国家打青团，然后呢就是能够他能够趁虚而入，然后长推而入了，嗯，趁虚而入。因为那儿就几个国家都在那儿盯着嘛。对，就是那个柯德温在那盯着，雅典，就是在那盯着，然后还有反抗军，还有什么。然后那个当然最后结果呢，他那个第二卷也第二那个第二部的那个游戏呢，, Start Time: 4134350
Text: 他也是有很多抉择的。就是那个呃杰洛特，他可以支持那个松鼠党啊，他也可以支持那个就是那个蓝衣那个那个胃。然后他他对挺会，他也可以揭穿这个整个这个事情，嗯，也可以不揭穿。比如说那个我我记得哈好像是不揭穿的话，呃，就会发现那个又又像那个那个法师那个大屠杀似的，大家又会一言不合，, Start Time: 4160690
Text: 又动起手来，又顿打打啊，又是这样。然后你揭穿了之后呢，然后又是另一个结局。然后反正不管你做了什么，反正这件事情呢，最后的结果就是说这个履数是他们想想那个建立这个国家的这件事情是失败的，就是说他们没有建立成功。然后呢，那个那个那个杰洛特呢救回了那个特里斯，然后把自己的那个那个那个冤屈那种洗刷了。, Start Time: 4184780
Text: 嗯，然后那几个国王呢是死掉了，就是那个伏尔泰斯特呀，雅典的那个德骂王。对，这几个是死掉了。然后狄夫加德呢呃就趁那个，因为你不管怎么解决，总之都是混乱的嘛，所以说反正就是相当于第二第二部游戏呢从某种上来说呢，可以看做第三部的一个很大的一个续章。哎，对唉，他不管怎么解决，, Start Time: 4211970
Text: 反正总之来说狄夫加德一个大的方向不会受太大的改改，都是一个小小细节节。对啊，还有一个呢就是杰洛特在第二步里面，因为第二步已经很明显，他做第二步的时候，他肯定会做第三步了。就是第二步的时候，他就绝对除非当场倒闭，否则说他肯定会做第三步了。所以当时做第二部的时候呢，, Start Time: 4234210
Text: 他就就埋伏笔是吧？在他的埋了很多伏笔了，特别叶利弗的伏笔就卖的特别多了。因为那个叶利弗呢，他那个他那个雷索，其实因为杰洛特失忆了，其实他他以他在没有失忆的时候，跟那个雷索曾经并肩并嗯并并肩作战，而且雷保护了那个叶叶利，就是杰洛特不见了之后保护了叶利弗，然后所以他就不降，, Start Time: 4253020
Text: 就是这个是最后一个选择。你杀不杀那个雷索的时候，他会给你讲，就是叶利弗在哪儿，所以你怎么去找他。所以那个那个那个第三呃，部游戏开始不是，他就在找那个找那个那个叫叫什么叶丽芙吗？那个是接着那个接着那个接着应该说是接着那个动画，就是开始不是有一个叶令甫鞭跑，还丢丢了一个那个水晶骷髅出来啊。, Start Time: 4273800
Text: 对那个动对对对，就借着借着那个动画的是，而且那段那段他查他那个什么那逃走那个那个迹象，翻地上土之类，那个特别像，那指环王二里面那个就是阿拉贡那一行人去找那两个霍比特人，那一段特别像，真的都在树底下什么燃烧的尸体堆啊，然后就看到一个什么精灵的一个小的一个胸针啊，, Start Time: 4298990
Text: 这种特别像。我觉得嗯他那个是开启福尔摩斯模式。对对对，然后这就是第二卷的一个剧情。第二呃第二部游戏，我老师想听第二卷嗯第二部的剧情。第二部的剧情呢，第二部呢就比第一部呢呃要短很多，就是特别主线的，要要就是那个它还是内容很丰富。但是就是从游戏时间上来说呢，第一部虽然第一部的那个地点在三部游戏里面，, Start Time: 4322270
Text: 呃，第一部的地点是最少的，嗯，最少第一部只有卡尔摩汉，还有维吉玛、维基、嗯、维吉马，还有维吉玛、周围，维吉马州围，还去了一个沼泽，还去了一个地方。但是不管怎么说，第一部就是这么一个一块儿，嗯，就是维吉玛成交，维吉马和卡尔摩汉。对，第二部呢就相对来说地域就要广一些。, Start Time: 4348120
Text: 第二部有一个有个古城叫什么什么罗木物嘛，叫什么的，一个洛洛克洛克木涅洛洛克什什么？对，就有那个还有那个福冈，还有那个战场，就是就是那个卡塔山谷的那个战场。对对，唐卡山谷的战场就是第二部，地理上的时候要多一些。第二部，而且明显画面比第一部部什基基的什场，第二部的那个那个是非常惊人，, Start Time: 4367300
Text: 非常非常非常大的情况。第二部那个出来的时候是那个我的那电脑是打不了的，就是就是嗯还有波。但是其实刚才最先有一个那个有一个稍稍有个一个一个误解。您您说那个那个第三部的时候，他才登录这个主机那个市场其实第二部也登录的。对，第二个 x box 三六零嘛。对， OSX box，, Start Time: 4391100
Text: 但是晚了一年嘛，所以说就是宣传上没有那么大力度。对，没有那个那个猎魔人的那个力度。对嗯，因为我们刚才也介绍了整个猎魔人的世界观，还有游戏的大致的剧情。嗯，对对，然后我觉得最近风口浪尖上最大的一个事件就是说这个到底这个游戏应该翻译成猎魔人还是巫师，但他官方他给出的是巫师，, Start Time: 4412050
Text: 但但其实很多人并不特特非常奇怪，是我巫得就是他在游戏盒里包装上面写的就是从一代开场写的都是巫师，就中文版的话。但是在游戏中间，他把这个职业是就是翻群兽魔猎人的。他是这样的，他那个他里面其实都是叫圣魔猎人，因为这是台湾翻译的，是圣魔猎人哦，那是巫师这个东西这个这个游戏是没有简体中文版，, Start Time: 4436210
Text: 我觉得他写成巫师，他没有简体中文版。这个首先是没写中，他写巫师的，像第三代写巫师唯一的考虑就是因为他自己，你知道吗？就是那个他他比较好排，他左边叫巫师，又边变叫狂猎。然后他这样中间是一个像个那个嗯暗黑 boy 神的那个爪子，就是那个那个三道线三代三代。然后他这样那个就美观上来说排版很大的，, Start Time: 4461470
Text: 嗯，就是排很好排，就是这样这样。嗯，但是那个他是我觉得他是考虑它主要就是考虑这个，那它里面就是真正的翻译，它里面就没有完全没有出现过。巫师这个说法就是那个排版的游戏一二三都是这样。但是它就就在那个封面上，它这样一排就非常好排。嗯，左边。巫师右边那，然后中间三道三道线这么一下，, Start Time: 4485500
Text: 我觉得你这个由由简单粗粗了，就主要是排版。那那赵照明你的意见是什么呢？嗯，是这样子，因为因为我我们刚开始翻译这本书的时候，是还是在那个在科观分业做杂志的时候。然后嗯他他当时还没有考虑说呃，就是没有考虑说后面这几部呃会不会出呃，因为当时就不是出错了。第一部的那个短篇集嘛，, Start Time: 4506780
Text: 就是那个终极愿望那个那个那几个故事。然后呃当时是参考了，是就是很大程度这样参考了，就是台版的翻译。然后但是他排版的翻译公司是肯定是就是拿到了很就是肯定是官方，因为是官方给的翻译嘛，肯定是给了翻译包的，而且也打过游戏，他把那个东西翻成圣魔猎人，其实是从从他从内容上来讲是没有问题的。, Start Time: 4531090
Text: 嗯，就是从他的那个翻译和就是本身杰洛特这个人的职业来讲是没有问题的。之所以后来会给改成猎魔人，是因为觉得他里面口语很多，就是说 richer 你怎么怎么样 richel 你怎么怎么样。这个如果说翻译成中文口语的话，就太奇怪了，说圣魔猎人你怎么怎么样？圣魔猎人你怎么怎么样啊，, Start Time: 4552890
Text: 所以所以就改成了一个三个字的，就是猎魔人啊。因为因为台我记得台湾有那个繁体中文版，翻翻的是猎魔士，对不对？对，台湾的另一个那个繁体中文版，就是他直接出的那个是夜魔式。对，当时当时最先翻这个的时候是打那个游戏，就是一代的那个游戏。就是因为你说实话，你不通过游戏的话，, Start Time: 4571950
Text: 没有人能够了解那个里面的那个东西，只有通过打游戏里面然后才来。但是游戏里面是就是圣魔猎人，就是就是游戏的一代，就是是圣末猎人。所以很多我们也相相对来说继承的就是那个游戏依赖的这个呃呃很多的文名名是尽量量尊重嘛，尽量尊重了他的那个依代的那个你们虽然有些人有些不赞成的还是改的，, Start Time: 4595900
Text: 有些也不赞成。比如说那个叶妮芙，它里面喜欢翻现叶丽法，叶奈法。对，那个就给他改掉了，因为那个太怪了，就是因为还叫洗礼。对，因为你以前我们跟别人说过，就是说叶妮芙和那个 jennifer，就是那个那个东北那个妮不就差了一点嘛。对对，你不能叫詹奈坊嘛，就是这个这个确实如此，, Start Time: 4619800
Text: 这这个太奇怪，那个东西就是所以而且一点都没有体现他们那个女性能力特征是，所以就就没有用这个英雄。还西里呢也是因为他是 siri 嘛，就是那个那个领域也也觉得不符合他读的那个音，他就是按那个 c 位，所以里面有一些改革。但是很多还是造成，比如说那些国家的名字啊，, Start Time: 4639360
Text: 还有那些很多专用名词啊，还是有法术啊，都是还是尽量什么伊格尼啊，什么 OK。然后这些都是尽量就是按照那个嗯然有一个说法，就有一个说法，就是说嗯有些些人根据就是说波兰语的，就是说那个词的意思就是包括不是说之前有英文的译名叫做叫 haxson，然后就是德语那个 hax 女巫的一个版版的就叫 haxson。, Start Time: 4660470
Text: 然后就是说就是他们认他有就是有一个观点，就是既然呃这些猎魔人可以用法术，然后他也可以呃就是他有一定的魔法能力，然后他也会一些驱除诅咒的一些方法之类东西，算是对法术也算是有点了解的人。那么就是说他们觉得我们就是不应该说女巫就是属于那种法术很强的。所以所以就是说呃他们意思就是说既然巫师不一定要像我们想象中间我们中文或者是嗯对，, Start Time: 4684510
Text: 是这么一个情况，就是那个你们说的那个我也看过。但是呢呃我觉得这个问题呢，他主要是翻译它有一个照顾这个信达雅这三个方面。嗯，呃我那天我在饥客网上，我还看到有一个很长的一个帖子，就是他就是列举了一些就是词根，然后来讲这个这个东西。那么这个问题呢我觉得应该分这么几个方面来看。, Start Time: 4711350
Text: 嗯，就是首先呢巫师这个词，巫师这个词嗯在中文里面它是有一个固定的一个含义的。这个是不能因为我们去说这个巫师是什么就能改变的。对对，而这个单词的这是在中文的日常生活当中，经过几十年或者几百年甚至上千年的积累，它形成了这个巫师的这个意思。巫师就是一个魔法师，甚至是有点点那种就是神神叨叨的那种唉那种那种法师。, Start Time: 4734140
Text: 就是刚才我们说的就是给那个就是我们说的猎魔人喝下那个药的那个那种的那种就是巫师。嗯，这个是一个已经形成的一个语义巫是没个去改，确实确实，所以这是这是第一点，这是第一点。嗯，就是说第二点，猎魔人这个呢，就是说他确实他为什么叫 waitter，或者说是叫那个 hicor 或者是叫什么的，, Start Time: 4761240
Text: 他确实是从表意上他有一种考虑，他确实他不是直接指呃就是猎魔的，他确实这个意思不是这个，他的意思是说呢，就跟那个叫女巫，就是有一种劣称一样。但是中国人就是叫女巫，也可能老外他的第一反应那个位置，他也可能他反映的就是一种变异的人。印象。印象当中的话就是一种哎那种老巫婆呀，, Start Time: 4783600
Text: 或者是这种形象。然那个巫那个巫师他也是经过变异的，就是那个那不猎魔人也经过变异，他也是有一种劣称的这种形象。 k 确实说啊翻成猎魔人呢，首先是他做到了戏性达啊，就是说直接就是这个是绝对不会产生一个歧义的，绝对不会产生一个就是就是任何的歧义 OK，而是说他就是叫猎魔人，, Start Time: 4806580
Text: 但是他失去了一个一个小小的意思是什么呢？就是说失去了一种就是说他哎别人别人对，就是那些农民啊，他对那个猎魔人的称呼里面，他也许他第一个表，他表达了你这种人就是干什么的。但他不只是表达了这个，还表达了一种疑信当中对你的一种一种那个蔑视，或者是一种恐惧或者什么的。, Start Time: 4830180
Text: 就是那个 waiter factor 里面有一个这个意思，在 OK。但是在面魔人里面呢，他这个翻译呢，他少一点，这个意思，这是第二。但第三个呢，第三个，但是在这两种考虑都出现的情况下，嗯，那么我们肯定要先照顾的是就是准确和信。对对，为什么？你你因为那个 waiter，, Start Time: 4853670
Text: 比如说打个比方，我们就举一个很久以前的例子。嗯，以前那个那个呃很很多年前十几年前那个魔呃魔界的翻译也曾经就引起了很大的一个争议。就是那个他直接那个奥克斯那个半兽人对他叫奥克奥克斯，他就不叫不叫兽人，他叫奥克斯。当时就引起了非常大的一个一个一个那个当然你你其实从本义上来说，, Start Time: 4873450
Text: 嗯，啊从一个翻译上来说，你当然觉得奥克是一个更准确的一个说法。因为那个嗯以前都没有这个这个东西，土尔军发明的嗯，嗯，你怎么直接就叫叫人呢？嗯，对，是你就应该叫奥克或者奥克斯嘛，就是叫。对，但是你恰恰在那一个唉，不说现在就在那个当时那个语境下，嗯，大家都是 DND 的。, Start Time: 4899540
Text: 嗯，就你那个冒出来变成奥克，但这个就是一个就是一个非常那个就像那个猎魔人，我们叫他那个里面的女巫叫女巫，嗯，对吧？叫女巫，女巫不可能叫做围棋。嗯，对对，叫武一棋象棋围棋，我们不能叫他围棋嘛，也不能也不能叫精灵埃尔夫是吗？对，这不能叫做艾尔嘛，因为也许确实是在他那个世界里面，, Start Time: 4921920
Text: 也许那个呃他那个农民就是叫他围棋，但是你还是得翻译成那个汉语的意思。嗯，对啊，然后女巫代表了什么？所以猎某人跟那个嗯围棋翻成女巫和那个威 acer 翻成猎魔人，实际上都是一个道理。嗯，就是因为包括 wzy 的叫巫师，叫对龙，叫做不叫抓根叫龙。对，都是这个意思，, Start Time: 4941620
Text: 它也不叫抓根嘛，这也叫龙嘛。因为那个龙虽然跟中国的意义上的龙有一些区别，但是我们还是一个对，但这个这是一个对对，这个得说一下，就因为翻译学或者语言学中间有一个嗯一个概念叫做绝对不可逆性，就是相对可逆性和绝对不可异性。 absolution 是好像是那个什么 absolute on translabability，, Start Time: 4960800
Text: 就是就是说就是说有些东西，比如说中国之前有一段就是就是用实施史事，是所以这一个发音能把一大段的句子，你是不可能翻译成英文，把它翻成一个同音词的。因为这是中文本身的一个特点，包括你说龙这个概念，就是说你可以另外做一个译名，叫他杜拉根或者 dragon 抓根。, Start Time: 4980970
Text: 但是但是中间它会丢失很多东西。所以说因为语言的一些相似的概念，它本身并不是完全重合的，所以它肯定会出现某种偏差。而翻译其实要做的工作是努力减少中间的这种偏差，但是还是要照顾你自己母语的一种习惯。不能说为了表达呃完整表达母语，就是比如说这个波兰语它本来的一个习惯，, Start Time: 5003030
Text: 而去强行的加一个这样一个新的概念，除非它很有必要，这是我的看法。对对，嗯，呃经过刚才这个这么长时间的我们这样一个啊非常非常有意思的探讨。就是我们我希望这这期节目嗯，大家听众们听完之后会对这个巫师的世界呃，不是巫师猎魔人的世界有一个更加详细的了解，更加详细的了解。, Start Time: 5026810
Text: 然后然后反正也是非常非常感谢，就是这个今天今天就史诗图书，各位包括区长老师，嗯呃运气哥和和赵云。呃，就给我们这个呈现的就是就是非常专业角度的对这个猎魔人世界的这样一个一个知识。对，然后但是最后不要忘提猎魔人史诗图书的第二卷，马上就马上就要推出了。对，大家可以去预定的印刷出来。, Start Time: 5050355
Text: 嗯，对，马上就可以发货了哈。对，我早已预定。对，就等着那一天了。对，大家都等着那一对。然后第二卷其实重重要提到就是 siri 他的这个故事怎么回事？大家正好结合了游戏，可以去了解，了解，非常非常好。对对对，实际非常的非常了。嗯，对，所以呢咱们今天这个期节目就就到暂时到这儿，, Start Time: 5075570
Text: 对，好吗？那也感谢感谢石图师各位好吗？那我们感谢季后网，感谢大家，嗯，谢谢谢谢。哎，好，那我们这期节目就到这里。好，下期节目再见，拜拜拜拜，下期再见，再见。加 DO pro 本着高端专业有态度，但没有节操、大气、美观、国际化，但没有水平的严谨风格，为你带来游戏圈内各种大哥的牛逼讨论，, Start Time: 5097280
Text: 但是不一定都是对的。专辑节目会在每周四定期为你发布，但会经常跳票。如果你希望能听到更多游戏专题节目，也可以持续关注我们的网页三 w 点 g 杠 CORES 点 com 或者在新浪微博关注机核网。你可以在腾讯微信搜索公共平台 GAMECORES 或者加入我们的 QQ 群，, Start Time: 5126990
Text: 一一二八幺六八零八，为我们提供更多更好的话题和建议。, Start Time: 5161945
