Text: 哎哦哎哎，最新鲜热辣的游戏资讯，你不在会儿等啥呀？最猥琐思密的玩家先生出来给我去打游戏了。难上啊，欢迎收听史上最专业的游戏广播电台，家里有别的买去。 oh no， i will like this my chetty。大家新年快乐，我是主持人西王。大家好，, Start Time: 1390
Text: 像以前咱们逛邮件的时候，都是很多小工厂店，懂游戏的，很多很多都是玩玩家。那那打工来来以后后会跟你你现现在什么游戏，然后玩儿什么游戏，然后给你介绍，有时候还会坐着陪你打游戏。对，但是呢现在去实体店基本上就是跟点台一样。我要这样那个交完钱走人人，而且你不买的话，, Start Time: 3847560
Text: 你他妈背后你关着窗外骂，你基本就会白白眼。从你一进一进店就白眼，白眼就撒着你。嗯，对对，反正哎希望你说说是不是就是谈谈那个就一块聚会啊什什么的一块，你觉得对对我我更深入体会。因为集合这么多年了嘛，每年基本上都得办游场，然人认识人那么多了，都就是特高兴。就是因为好多朋友们，, Start Time: 3865580
Text: 其实咱们互相介绍，互相联络，其实也都也都认识你们店里的人，我大部分也都认识。对嗯嗯，其实到一五年呢，哎，是不是你三十六对，三十六除以三十二本命年？对，本命年我其实我也挺担忧的。因为呃老话讲本命年不是最背的时候嘛，而且说实话啊，整个这个这个整个这行业现在确实不太好。, Start Time: 3887640
Text: 因为咱们玩游戏的玩主机游戏的都明白，毕毕竟是小众，而且是小众中小众。所以我觉得大家会更应该珍惜珍惜。比如说互相认识的这种机会，然后去用心的去玩游戏。因为怎么说呢？可能很多岁数稍微小一点的朋友可能一直没有赶上。我就是稍微就是我们没个岁数这种的游戏的黄金年代。, Start Time: 3912590
Text: 嗯，什么叫黄金年代？就是那会儿就是从 FC 玩起来，那会儿没有 ipad，没有手机，没有电脑，什么都没有，只能二十年代。对，只能玩游戏机。那会儿那是那个包括 MDSS 和 PS。那会儿真是游戏的黄金年代，到现在现在各种充斥着玩的这种东西太多了。所以我觉得大家喜欢的还是还是应该坚坚持下去，, Start Time: 3937040
Text: 坚持这个自个儿。对于这种主机游戏的这种热爱，感觉，好多人就是因为身边没有好多朋友一起玩。对，所以后来可能自己慢慢的没意思就不玩了。对对对，就没意思，就不玩了。其实其实在北京还来讲，还是还有有这个圈子，还还还是有的是吧？还是有很多人都在热爱着主机游戏这一块的。, Start Time: 3960310
Text: 嗯，包括咱们不都是热爱主机游戏的人吗？是吧？是，反正二零一五年呢，我自个儿也是怎么说呢？感觉心里头也不是那么有特别有信心啊，因为整个行业状态也不是不是特别好，不是这不好，是是能透露吗？这算行业机密嘛，嗯我觉得也就是大体说吧。大体说来讲，现在就像这种嗯主机啊游戏啊什么的，, Start Time: 3980770
Text: 确实利利润利润非常的非常的低。而且而且呢就是嗯怎么说呢？就投入投就从商业这块来讲啊，因为我接触时间也并不是很长，只是应该说是一个新手。但是作为一个新手来看呢，确实是投入巨大，收益甚微，收益甚微。确确实确实这样，包括我觉得在北京，不管是什么样的游戏店也好，在我看来啊其实都是都是很不容易的。, Start Time: 4009080
Text: 我觉得就是其实不管是作为玩家也好，还是作为买家也好。我觉得其实都应该是给予这个从事的游戏行业的这个人呢，应该给给我们一些是尊重也好，还是一些理解也好，我觉得得实实不容易。刚才也提到都是也都是抛家舍业的，是吧？然后家里头虽然挺支持的，但是你像一年三百六十五天呢，, Start Time: 4035780
Text: 一直比如说有些时候那个一个朋友说等着一个游戏说，哎，黑洋，我晚上八点钟去取去。行，我好，没问题，我等着你，你说来我就等着，没问题。因为因为我能理解说一个人一个玩家，因为我也以前也就现在也是玩家，以前也做过买家玩家这种的。我我没是玩家的心理，其实对我就是非常非常非常能能能理解的。, Start Time: 4058540
Text: 想马上玩，对马想马上玩。而且但是现在生活压力都很大，什么公司啊什么要求都很严格。比如下班打卡，再加上现在这种交通非常非常当拥堵啊什么之类的，可能到这儿到这店里里来，就八点钟或者九点钟了。但是说你要是不等不不等人家的话，他拿不到游戏，这这个就去别人那儿一直去别人那拿，, Start Time: 4081800
Text: 或者别人那也关门，他不高兴了你就不高兴，而且心里头你大家都能理解吧，就能理解，就是算就是那个玩游戏人都这样，而且你正急着呢，急着拿不着，你总不能说你说让你等于数字版，你也瞎半天。对我印象特深，就是那次杨哥等着家拿货，就杨杨都没吃饭，就一直去旁边那个七幺幺买了一饭团吃粽子、, Start Time: 4102530
Text: 粽子、粽粽粽子、粽子，我管那叫粽子，因为我以前没吃过，因为以前一直吃食堂嘛。你先别说粽子的儿儿，不是那那数字版，这个你你觉得怎么样？其其实数字版因为我觉得次世代开始了，就是数字版有好多人已经接受这种形式式。你看我龙腾什么的，因为我因为国内渠道，其实有的时游游戏不是那么买，, Start Time: 4122930
Text: 买着有的游子，而有时候价格会太高，就报就炒炒起来了。我保证你数字版有个好处，就是你看现在老换盘比较麻烦，其实还是对，就懒得真是懒得起了。对你不能像电脑一样，就是切一下游戏就行了。对，而且你到处换地儿，我这个也都能玩什么的。对，这但是这个这个我我有一个想法，, Start Time: 4145450
Text: 就是我自个的亲身感受。因为数字版的我也我也下过，像那个 g 狙击精英三，还有那个还有那个超烂的那个罗马之子啊，我觉那次子我下的全是数字，全是数字版的。我觉得现在就有这么几几个问题，他我确实很方便。但是那个什么？第一，你你没法借人，第二就是玩腻了之后，想卖的话卖不了。, Start Time: 4163920
Text: 呃，第三就是它在机器里头你看不着实体盘，我觉得传统的像我这种比较传统的，还是喜欢看那种实体的东西，摆衣柜啊。对对我觉得我觉得我觉得有些时候游戏对于咱们来讲也是一种摆设是吧？加了一种装饰什么的，但对其实好多老玩家都是这个情怀。但是我觉得嗯就是现在就是人们接受这个数字版的进趋势，, Start Time: 4186960
Text: 快趋势比我当时想象要快的多。确实实 steam 快主要是很快就跟电电脑那一块。对，所以我觉得就更打击这个实体行业了。嗯，而且从商家角度来说，没有库存，对他们完全没有压力。他们巴不得可能都是对，都是数字版。但是因为对那个批发商零售商来说，他们就是打击了利润一下少。, Start Time: 4211630
Text: 对，所以我觉得可能过些年所有实体销售行业游戏相关的可能都要有点有有转型。嗯，这我觉得有可能包括之其实最担忧的是什么？嗯，就是之后之前索尼不是说过，说以后要全是云服务连零，连游戏机都没有了。然后直接就是就是电视上话，就是电电视不是直接就能玩了吗？这个连游戏机都主机都都给淘汰掉了，, Start Time: 4232730
Text: 其实我是那就更未来了，那那个那确实那太在太远了，我觉得但是他不现在已经有这种想法。 station，那你对对对，有个有这种想法了，但是我觉得有还是还是那么说吧，尤戏是有文化，你包包括像音乐音乐这范畴可能更大了。那你要这么说的话，现在像那种黑胶，包括那个 CD 什么的，, Start Time: 4258800
Text: 是是一样还还存在着吗？对，但是已经完全不行了，是是不行，但他一样还保保存着这种形式是吧？现在有那么多 MP 三，包括授授权的，你可以花钱下载什么之类的。但是作为一些作为一些真正的粉丝来讲，他们还我觉得还是真正喜欢这种实体版的东西去去试收藏也好，还是自个儿摆了也好。, Start Time: 4277960
Text: 我我是这么我是这么看，你说音乐行业，音乐行业有个大震荡， CD 什么都卖不好。但是但是但是现在的艺人他们都会喜过那种演出，对来来转，不光是演出包有那各种代言或者广告。对，但是 CD 咱都知道，肯定是不挣钱那个。对，但你游戏这个东西，你说以后会不会发展，也是各种比赛，, Start Time: 4299000
Text: 什么各种类型的游戏。其实游戏跟它跟这个音乐这还是还不一样。刚像音乐它都是一次性的。但是游游戏它会有 DDLCC 有 DLC 的补充。行，我觉得也没关系。那以后要么真没游戏了，那我这改咖啡馆，然后就是老游戏咖啡馆，然后老玩家家全来来是过来，能是我觉得可以灵灵灵活，, Start Time: 4320550
Text: 灵活不如就就聊天了呗。灵活里边刚才毛毛说那个形式不是挺好的对对吧？啊，老游戏楼主忽视那个。对对对，就是合合在一起嘛，忽视对，就弄一个玩的地方。对，所以咱咱咱家一起玩的玩的东西，对啊，是吗？嗯，不是你不就这理念吗？呼朋引伴对黑羊我不喜欢，但是我可能喜欢艾迪杨哥，, Start Time: 4339690
Text: 还是喜欢那种高朋满座高朋满异对人什什么的。没错，就是特别水浒传那种感觉。对，嗯，全上上山了。咱那个杨哥放一首受招安的歌吧，咱给他放一首逼上梁山嘛，能逼上梁山。对我操不见高声，你的神人间的恶和男，反正我我我不是逼上的啊，自个儿想想上上那个。其实你要说梁山这个概念，, Start Time: 4363700
Text: 你看梁山咱一百零八将，其实他每个人都会有一种能够独挡一面的那种技能力。对，像有的花荣射箭什么的，然后软氏兄弟能潜水什么的。每次跟杨哥这就是这个那聚会的时候，那些朋友他们每个人就是对不同领域、不同类型的游戏，他们也都有自己的见解。我最欣慰最高兴的就是从杨哥的那样，, Start Time: 4435800
Text: 结交朋友里面挖掘筛选出一些以后机会的后备力量，这点觉得对于我来说算是特别珍贵的。对，特别的棒，你知道对，我们也需要特别个现在赵方，你知道是什么意思吗？就是当我看到那个就是咱们咱们那个伙伴里头有一个九零年，哎，九零九四年、九四年星星小星，九星九四年的吧，他九零年九四四九四年的这个这个小伙子，, Start Time: 4459270
Text: 就把那个就是从小说跟我说两岁半开始玩 FC，然后就是一直玩主机玩起来的。我觉得当时我心里头就特别的高兴，你知道吗？嗯，就是说能看到就是说这么年年轻的同志就是这么这么喜欢主机，就是心里头有一种说不出来的激动了。对，实激激了，是不是有点那种，怎么说，叫忘年交？, Start Time: 4485945
Text: 对，忘年交了说吧，反正反正岁数是差不少，但是就是说话完全我觉得没有在最起码在游戏和一些问题上是完全没有代沟的这这一块就特别特别能能聊得来。然后我觉得这也是能看到，就是说还还主机这一块，还是后继有人，还是能还是有人喜喜欢这些年轻的同志，喜喜欢这些东西的。所以当天晚上喝酒就说了好多好多话，, Start Time: 4508090
Text: 你知道吗？就是有青春寄语吧，又是什么这个吧，又是那个吧，然后就是真是看到希望，就之后再也不来了。我说来了小青，小青也非常高兴，因为因为他也能他也就是说像他跟我说找到组织，就是说能一块儿摆一些一些游戏了聊特别深入聊聊特别开心的这么一个地方啊。赵鹏，你以后肯定会喜欢小星，, Start Time: 4531410
Text: 那天晚上杨哥真特别棒暴走。我跟你讲什么样？就是那个草替精使用那个秦越阳给人拖下。杨哥，当时当天晚上真是拖起明天的太阳，拖起明天叫秦水，明日之星炸了一下，对，特特别的棒。而且小星他好像也是在学校，苦于周围，没有人交流，但是就是自己一个人玩。我觉得听节目的朋友们，, Start Time: 4551600
Text: 如果你也是一个人玩游戏的那就想办法跟我们联系，嗯，或者到杨哥店里看看。嗯，但是现在没有电了。对，正在筹备新呢，大家以家家在可以加入群，怎么着？再怎么你玩游戏，这路不能孤独。对，咱们提倡还应该是健康成长，别掉队。对啊，我们这宣扬的还是就是青春积极向上，然后一定要要阳光，, Start Time: 4572360
Text: 你知道吗？不光是游戏，还有更多的人生的这种感悟。对，没错，是不是各种各种朋友，所以所以没看到 BB 梁山，所以说没两能全 b 二零全全全那什么了，要这杨哥，你这事业还是有前途的吗？还是有很多玩家，就是零星散在各地没有被聚起来。对我觉得就是大家如果不在北京呢，, Start Time: 4595820
Text: 也要组织组织。对对，明年我们有新网站，大家就可以在英站上呼朋引伴。对，觉得就是论坛是吧？对，不是也不能说是论坛嘛，反正就是新的一个不能透露的小功能。对对，大家就是通过我们也好，通过杨哥也好，都能认识更多朋友，走到线下去。对对，所可以不玩游戏。对对对，就聊聊天嘛，, Start Time: 4622770
Text: 对吧？聊聊生活，聊聊生活，聊聊点情吧。因为我说世界各地各个分部，对，每天往往从英国回来，然后从英国回来。其实我就一直这么说嘛，其实不管岁数大小还是怎么样的，每个人都是每个人的老师啊，你可以从别人身上学到很多，就是就是以前不不不了解，就是知识确实确实是是这样，, Start Time: 4645830
Text: 所以我不想学习。我突然间觉得二零一五年集合年度汉字应该是有朋友的友，有对结交更多朋友。对有对请更多朋友来我们这儿分享他的故事。对，好不好？好嗯，机盒大门容机盒大门永远为你们敞开。对，那咱们最后送上一个杨哥的一个，你拍一我拍一吧，真说呀。对，然后咱们这期节目就结束了，, Start Time: 4665490
Text: 也祝大家新年快乐、新年快乐快乐快乐。那能把其他的鬼都瞄了，你自己说啊，就是备好了开始了。这应该算二零一五年的新世纪。童谣开始你拍一，我拍一，金盾野麦游戏机，你拍二，我拍二，电梯里面塞跳蛋，你拍三，我拍三粉色马甲身上穿。你拍四我拍四，杨哥，他住天宁四你拍七，, Start Time: 4694010
Text: 我拍十地，莲地狱特别鲁。你拍六，我拍六，每逢聚会就吃肉。你拍七，我拍七，地漏里面笑嘻嘻，你拍八，我拍八，杨哥最爱把玉夸。你拍九，我拍九，杨哥最爱喝啤酒。你拍十，我拍十地漏里面真超值牛逼。我希望 kiss ss 自家看完。, Start Time: 4723110
